tweet_id,created_at_dt,text_display,rag_context,themes_list,primary_label,sentiment_label,llm_urgency_0_3,llm_severity_0_3,status,summary_1l,author,assigned_to,llm_summary,llm_reply_suggestion,routing_team
1343458257915031553,2020-12-28 07:26:23,"💩 à <BRAND:free> parce-que Débit Très instable, … <PARA> Free en France: vitesse, performances, pannes et commentaires des utilisateurs <NL> 👉 <URL> <PARA> #fing #internet #Free <PARA> via <BRAND:fingapp> <BRAND:outagedetect>","On active une analyse rapide. Nous sommes désolés pour cette situation inacceptable. Transmettez-nous votre identifiant client en message privé, svp.","[""Problème réseau""]",Problème réseau,négatif,3,3,open,Problème de débit instable sur le réseau Free.,m_annuel,Technique,Problème de débit instable sur le réseau Free.,"Désolé pour les désagréments. Nous avons lancé une analyse. Pour vous aider rapidement, merci de nous transmettre votre identifiant client en MP.",Technique
1694675653205860558,2023-08-24 11:38:55,"Dans la lutte contre les installations sauvages et les infrastructures dégradées, la bonne formation des techniciens qui déploient la fibre est essentielle. J'étais ce matin aux côtés d'Idriss, formateur au centre de formation technique <BRAND:free> à Argenteuil, dans le Val-d'Oise. <URL>",Navrés pour la gêne occasionnée. Nous comprenons votre frustration concernant la réseau local réseau en Côte d'Armor. Nous travaillons constamment à l'amélioration de notre réseau. Vous pouvez examiner les zones couvertes et les évolutions prévues sur notre site ou via l'appli Free Mobile. Merci pou,"[""Problème réseau""]",Problème réseau,positif,1,1,closed,Client satisfait de la formation des techniciens Free.,jnbarrot,Technique,Client satisfait de la formation des techniciens Free.,Merci pour votre retour positif sur la formation de nos techniciens. Nous sommes ravis que vous ayez pu constater l'importance de ces initiatives. N'hésitez pas à nous contacter pour toute question ou préoccupation.,Technique
1695912123824546156,2023-08-27 21:32:13,"Hello <BRAND:free>, <BRAND:freebox> et <USER> je crois que nous allons avoir prochainement un gros problème de fibre / PBOE <URL>","On vérifie les paramètres de ligne. Bonjour, vous pouvez nous envoyer un message privé ici même pour que nous puissions vous aider. 😊. Pouvez-vous nous écrire en message privé avec votre identifiant client?","[""Problème réseau""]",Problème réseau,négatif,2,2,open,"Problème de fibre signalé, demande d'aide.",rgaidot,Technique,"Problème de fibre signalé, demande d'aide.","Bonjour, nous avons bien noté votre problème de fibre. Pour vous aider rapidement, merci de nous envoyer un message privé avec votre identifiant client.",Technique
1709659172361404776,2023-10-04 19:58:05,"Bonsoir <USER>, je suis chez <BRAND:free> et voici ma bande passante #Freebox ⤵️ <NL> Vous allez pouvoir vous moquer d'eux dans votre prochain spot publicitaire <USER> <PARA> <BRAND:freebox> <USER> <USER> <USER> 🤡 <URL>","Bonne nouvelle, on s’en occupe rapidement. Merci pour votre retour positif! Nous sommes ravis que l'installation se soit bien passée et que vous puissiez profiter pleinement de votre Freebox. Bon gaming! 😊. Transmettez-nous votre identifiant client en message privé, svp.","[""Freebox""]",Freebox,négatif,2,2,open,"Client mécontent de sa bande passante Freebox, ton moqueur.",EllaVerite,Technique,"Client mécontent de sa bande passante Freebox, ton moqueur.",Désolé pour ce contretemps. Pouvez-vous nous fournir plus de détails en MP ? On va vérifier cela ensemble.,Technique
1711773973401235737,2023-10-10 16:01:33,"<BRAND:free> <USER> <USER> <PARA> En 3 ans l’équipe technique de Free (le « BOC » m’a t’on dit) n’est pas capable d’amener 3 mètres (ou moins!) de câble Fibre, afin que j’ai la fibre (cercle rouge) comme mes voisines dont nos maisons sont mitoyennes (cercles verts). Satisfaisant?! <URL>","Merci pour l’alerte — on va régler ça. Nous sommes sincèrement désolés pour ce contretemps et la réponse qui vous a été apportée, ce n'est pas acceptable. Nous allons immédiatement examiner ce qui s'est passé et revenir vers vous en MP pour vous proposer une solution adaptée. (thème: [""['Reseau/Inte","[""Problème réseau""]",Problème réseau,négatif,3,3,open,Délai anormal pour un raccordement fibre malgré proximité des autres logements.,michfrapp,Technique,Délai anormal pour un raccordement fibre malgré proximité des autres logements.,Désolé pour cette situation inacceptable. Nous examinons votre cas en priorité et vous recontactons rapidement.,Technique
1759266279620247842,2024-02-18 17:19:01,".<BRAND:free> a 25 ans et tient toujours ses promesses en terme de pouvoir d’achat et d’innovation. 3 quinquennats sans toucher aux prix de nos forfaits mobiles, voilà une promesse à laquelle les français peuvent croire🇫🇷🙏🔥","Navrés pour la gêne occasionnée. Bonjour, nous sommes désolés pour ces désagréments récurrents. Nous allons détailler les étapes et suivre l’avancement avec vous. Envoyez un DM avec code postal + modèle d’équipement.","[""Ligne mobile""]",Ligne mobile,positif,1,1,closed,Client satisfait de la stabilité des prix des forfaits Free.,TomReynaud1789,SAV Mobile,Client satisfait de la stabilité des prix des forfaits Free.,Merci pour votre message ! Nous sommes ravis que vous appréciez notre engagement en faveur du pouvoir d'achat. 😊,SAV Mobile
1762571081402011959,2024-02-27 20:11:07,Ça fonctionne super bien la Fibre Free ce soir... Franchement c'est abusé. Déjà l'autre soir la TV de Free (OQEE) était carrément indisponible ! #FTTH #fibre #Free #Var <BRAND:freebox> <USER> <BRAND:free> <URL>,"On analyse les derniers logs côté service. Bonjour, merci pour votre message! Pour le moment, il est nécessaire que votre première offre soit active avant de commander une deuxième Freebox Multi-TV. Nou... Transmettez-nous votre identifiant client en message privé, svp.","[""Freebox""]",Freebox,négatif,1,2,open,Problèmes récurrents avec la Fibre Free et OQEE.,nephthys,Freebox,Problèmes récurrents avec la Fibre Free et OQEE.,"Bonjour, désolé pour ces désagréments. On analyse les logs. Envoyez votre ID client en MP pour vous aider.",Freebox
1811040987365421110,2024-07-10 14:13:13,"<USER> et tout le réseau <BRAND:freebox> sachez qu'une main courante va être déposée, et ira plus loin s'il le faut. <NL> 6 appels en 24h avec 6 numéros différents quand je demande de retirer mon numéro de vos bases de données c'est du harcèlement. <NL> Vos forfaits de merde j'en veux pas.","Merci pour l’alerte — on va régler ça. Bonjour, nous sommes désolés pour cette désagrément. Pouvez-vous nous préciser si votre Freebox est éteinte ou si vous avez un message d'erreur? Nous allons es... (thème: []). Envoyez-nous votre n° client en DM pour vérification.","[""Résiliation""]",Résiliation,négatif,3,3,open,Client harcelé par des appels après demande de résiliation.,FrenchTea13,SAV Mobile,Client harcelé par des appels après demande de résiliation.,Désolé pour ces appels répétés. Nous allons bloquer immédiatement toute sollicitation. Envoyez-nous vos infos en MP pour traiter votre demande.,SAV Mobile
1812874502642049501,2024-07-15 15:38:57,"<BRAND:free> <USER> Installer la fibre sans autorisation du propriétaire et en perçant de partout, c'est normal ?","On active une analyse rapide. Bonjour, pour récupérer votre mot de passe Free Foot, vous pouvez utiliser l'option 'Mot de passe oublié' sur la page de connexion ou contacter notre service cl... Pouvez-vous nous confirmer votre numéro de ligne ou identifiant client en MP pour que nous analysions la s","[""Freebox""]",Freebox,négatif,3,3,open,Client mécontent d'une installation fibre non autorisée.,Tubbydev,Technique,Client mécontent d'une installation fibre non autorisée.,"Bonjour, nous sommes désolés pour ce désagrément. Pouvez-vous nous fournir plus de détails en MP pour que nous puissions traiter votre demande rapidement ?",Technique
1813254932449140912,2024-07-16 16:50:39,<BRAND:free> 13 minutes 13 sec!!!!! c'est le temps ENCOREE UNE FOIS PERDU à attendre après free pour résoudre un problème récurent !! INCOMPÉTENCE !!!! Ils ne répondent jamais!!!!! <URL>,"Merci pour votre retour. Bonjour, nous sommes désolés pour cette incident sur votre boîte mail. Nos équipes travaillent activement pour rétablir le service. Nous n'avons pas encore d'es... (thème: []). Pouvez-vous nous transmettre votre numéro de ligne ou identifiant client en message privé pour que","[""Service après-vente""]",Service après-vente,négatif,3,2,open,Client furieux après 13 minutes d'attente pour un problème récurrent non résolu.,Ben29072013,SAV Mobile,Client furieux après 13 minutes d'attente pour un problème récurrent non résolu.,Nous sommes sincèrement désolés pour cette attente interminable. Nos équipes sont mobilisées pour résoudre votre problème. Contactez-nous en MP pour une assistance prioritaire.,SAV Mobile
