intent,subintent,tone,urgency_bucket,opener,body,cta,reply,tags,lang,length,source_intent_col,source_theme_col,source_sentiment_col
Box/TV,"[""['Reseau/Internet'"", ""'Box/TV']""]",neg,low,Nous prenons en charge votre demande.,"Bonjour, nous sommes désolés pour ces désagréments. Pouvez-vous nous préciser si le incident persiste actuellement avec votre connexion Fibre ou votre TV OQEE ?...",Un DM avec votre n° client nous permet d’agir vite.,"Nous prenons en charge votre demande. Bonjour, nous sommes désolés pour ces désagréments. Pouvez-vous nous préciser si le incident persiste actuellement avec votre connexion Fibre ou votre TV OQEE?... Un DM avec votre n° client nous permet d’agir vite.","[""['reseau/internet'"", ""'box/tv']""],box/tv,low,negatif",fr,short,primary_label,themes,sentiment_label
Box/TV,"[""['Reseau/Internet'"", ""'Box/TV']""]",neg,low,Merci pour votre retour.,"Bonjour, nous sommes désolés pour ces désagréments. Pouvez-vous nous préciser si le incident persiste actuellement avec votre connexion Fibre ou votre TV OQEE ? Nous pouvons examiner cela pour vous.",Contactez-nous en DM avec votre identifiant pour un diagnostic de la box.,"Merci pour votre retour. Bonjour, nous sommes désolés pour ces désagréments. Pouvez-vous nous préciser si le incident persiste actuellement avec votre connexion Fibre ou votre TV OQEE? Nous pouvons examiner cela pour vous. Contactez-nous en DM avec votre identifiant pour un diagnostic de la box.","[""['reseau/internet'"", ""'box/tv']""],box/tv,low,negatif",fr,medium,primary_label,themes,sentiment_label
Box/TV,"[""['Reseau/Internet'"", ""'Box/TV']""]",neg,low,On comprend votre agacement et on s’en occupe.,"Bonjour, nous sommes désolés pour ces désagréments. Pouvez-vous nous préciser si le incident persiste actuellement avec votre connexion Fibre ou votre TV OQEE ?...",Contactez-nous en DM avec votre identifiant afin d’accélérer le traitement.,"On comprend votre agacement et on s’en occupe. Bonjour, nous sommes désolés pour ces désagréments. Pouvez-vous nous préciser si le incident persiste actuellement avec votre connexion Fibre ou votre TV OQEE?... Contactez-nous en DM avec votre identifiant afin d’accélérer le traitement.","[""['reseau/internet'"", ""'box/tv']""],box/tv,low,negatif",fr,short,primary_label,themes,sentiment_label
Box/TV,"[""['Reseau/Internet'"", ""'Box/TV']""]",neg,low,"Bien reçu, on vérifie.","Bonjour, nous sommes désolés pour ces désagréments. Pouvez-vous nous préciser si le incident persiste actuellement avec votre connexion Fibre ou votre TV OQEE ?... (thème: [""['Reseau/Internet'"")",Un DM avec votre n° client nous permet d’agir vite.,"Bien reçu, on vérifie. Bonjour, nous sommes désolés pour ces désagréments. Pouvez-vous nous préciser si le incident persiste actuellement avec votre connexion Fibre ou votre TV OQEE?... (thème: [""['Reseau/Internet'""). Un DM avec votre n° client nous permet d’agir vite.","[""['reseau/internet'"", ""'box/tv']""],box/tv,low,negatif",fr,short,primary_label,themes,sentiment_label
Box/TV,"[""['Reseau/Internet'"", ""'Box/TV']""]",neg,low,Navrés pour la gêne occasionnée.,"Bonjour, nous sommes désolés pour ces désagréments. Pouvez-vous nous préciser si le incident persiste actuellement avec votre connexion Fibre ou votre TV OQEE ? Nous pouvons examiner cela pour vous.",Transmettez en DM votre identifiant client et la référence de votre box/TV.,"Navrés pour la gêne occasionnée. Bonjour, nous sommes désolés pour ces désagréments. Pouvez-vous nous préciser si le incident persiste actuellement avec votre connexion Fibre ou votre TV OQEE? Nous pouvons examiner cela pour vous. Transmettez en DM votre identifiant client et la référence de votre box/TV.","[""['reseau/internet'"", ""'box/tv']""],box/tv,low,negatif",fr,medium,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV']""]",pos,low,"Parfait, on avance dessus.",Merci pour votre retour positif ! Nous sommes ravis que ces nouvelles fonctionnalités vous plaisent. N'hésitez pas à nous faire savoir si vous rencontrez des bu...,Transmettez en DM votre identifiant client et la référence de votre box/TV.,"Parfait, on avance dessus. Merci pour votre retour positif! Nous sommes ravis que ces nouvelles fonctionnalités vous plaisent. N'hésitez pas à nous faire savoir si vous rencontrez des bu... Transmettez en DM votre identifiant client et la référence de votre box/TV.","[""['box/tv']""],box/tv,low,positif",fr,short,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV']""]",pos,low,"Bien reçu, on vérifie.","Merci pour votre retour positif ! Nous sommes ravis que ces nouvelles fonctionnalités vous plaisent. N'hésitez pas à nous faire savoir si vous rencontrez des bu... (thème: [""['Box/TV']""])",Pouvez-vous nous écrire en message privé avec votre identifiant client ?,"Bien reçu, on vérifie. Merci pour votre retour positif! Nous sommes ravis que ces nouvelles fonctionnalités vous plaisent. N'hésitez pas à nous faire savoir si vous rencontrez des bu... (thème: [""['Box/TV']""]). Pouvez-vous nous écrire en message privé avec votre identifiant client?","[""['box/tv']""],box/tv,low,positif",fr,short,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV']""]",tech,low,On teste votre route vers le réseau.,Merci pour votre retour positif ! Nous sommes ravis que ces nouvelles fonctionnalités vous plaisent. N'hésitez pas à nous faire savoir si vous rencontrez des bu...,Contactez-nous en DM avec votre identifiant pour un diagnostic de la box.,On teste votre route vers le réseau. Merci pour votre retour positif! Nous sommes ravis que ces nouvelles fonctionnalités vous plaisent. N'hésitez pas à nous faire savoir si vous rencontrez des bu... Contactez-nous en DM avec votre identifiant pour un diagnostic de la box.,"[""['box/tv']""],box/tv,low,positif",fr,short,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV']""]",pos,low,Merci pour votre message.,"Merci pour votre retour positif ! Nous sommes ravis que ces nouvelles fonctionnalités vous plaisent. N'hésitez pas à nous faire savoir si vous rencontrez des bugs ou si tout fonctionne bien pour vous. Bonne journée avec votre Freebox 4K ! 😊 (thème: [""['Box/TV']""])",Indiquez-nous en message privé votre n° client et l’heure du souci.,"Merci pour votre message. Merci pour votre retour positif! Nous sommes ravis que ces nouvelles fonctionnalités vous plaisent. N'hésitez pas à nous faire savoir si vous rencontrez des bugs ou si tout fonctionne bien pour vous. Bonne journée avec votre Freebox 4K! 😊 (thème: [""['Box/TV']""]). Indiquez-nous en message privé votre n° client et l’heure du souci.","[""['box/tv']""],box/tv,low,positif",fr,medium,primary_label,themes,sentiment_label
Box/TV,"[""['Box/TV']""]",pos,low,Merci pour l’info !,Merci pour votre retour positif ! Nous sommes ravis que ces nouvelles fonctionnalités vous plaisent. N'hésitez pas à nous faire savoir si vous rencontrez des bugs ou si tout fonctionne bien pour vous. Bonne journée avec votre Freebox 4K ! 😊,Transmettez en DM votre identifiant client et la référence de votre box/TV.,Merci pour l’info! Merci pour votre retour positif! Nous sommes ravis que ces nouvelles fonctionnalités vous plaisent. N'hésitez pas à nous faire savoir si vous rencontrez des bugs ou si tout fonctionne bien pour vous. Bonne journée avec votre Freebox 4K! 😊. Transmettez en DM votre identifiant client et la référence de votre box/TV.,"[""['box/tv']""],box/tv,low,positif",fr,medium,primary_label,themes,sentiment_label
