tweet_id,created_at_dt,text_display,themes_list,primary_label,sentiment_label,llm_urgency_0_3,llm_severity_0_3,status,summary_1l,author,assigned_to,llm_summary,llm_reply_suggestion,routing_team
1343458257915031553,2020-12-28 07:26:23,"💩 à <BRAND:free> parce-que Débit Très instable, …

Free en France: vitesse, performances, pannes et commentaires des utilisateurs
👉 <URL>

#fing #internet #Free

via <BRAND:fingapp> <BRAND:outagedetect>","[""Reseau/Internet""]",Reseau/Internet,négatif,3,2,a_traiter,Problème d'instabilité de débit signalé,m_annuel,auto,L'utilisateur signale un problème d'instabilité du débit internet. Ils ont notifié leur dissatisfaction à propos de la vitesse et des pannes. La situation est inacceptable.,Nous sommes désolés pour cette expérience décevante. Nous allons régler ce problème en priorité. Veuillez nous donner vos coordonnées pour nous contacter. Merci d'avance.,Equipe SAV
1694675653205860558,2023-08-24 11:38:55,"Dans la lutte contre les installations sauvages et les infrastructures dégradées, la bonne formation des techniciens qui déploient la fibre est essentielle. J'étais ce matin aux côtés d'Idriss, formateur au centre de formation technique <BRAND:free> à Argenteuil, dans le Val-d'Oise. <URL>","[""Reseau/Internet""]",Reseau/Internet,positif,1,2,a_traiter,Importance de la formation des techniciens pour améliorer le réseau Free,jnbarrot,auto,"Le tweet met en avant l'importance de la formation de techniciens dans le déploiement de fibre pour combattre les installations sauvages et les infrastructures dégradées. Ainsi, on retrouve que des points positifs pour le réseau Free.",Nous sommes ravis d'entendre parler de nos efforts en matière de formation de nos techniciens. Nous continuons à travailler pour améliorer notre réseau dans toute la France. Vous pouvez consulter les zones couvertes et les évolutions prévues sur le site ou via l'appli Free Mobile.,Equipe Réseau
1695912123824546156,2023-08-27 21:32:13,"Hello <BRAND:free>, <BRAND:freebox> et <USER> je crois que nous allons avoir prochainement un gros problème de fibre / PBOE <URL>","[""Reseau/Internet""]",Reseau/Internet,négatif,2,2,a_traiter,Problème de fibre imminent.,rgaidot,auto,Le client prévient d'un gros problème de fibre/PBOE. Il semble en effet qu'il y ait une interruption imminente.,Nous sommes désolés pour l'inconvenient que vous expériez. Nous allons mener une enquête sur ce problème et nous contacterons le plus rapidement possible. Merci de votre patience.,Equipe SAV
1709659172361404776,2023-10-04 19:58:05,"Bonsoir <USER>, je suis chez <BRAND:free> et voici ma bande passante #Freebox ⤵️
Vous allez pouvoir vous moquer d'eux dans votre prochain spot publicitaire <USER>

<BRAND:freebox> <USER> <USER> <USER> 🤡 <URL>","[""Facturation"", ""facturation""]",Facturation,neutre,1,1,a_traiter,Question concernant un prélèvement bancaire lié à la facturation de votre Freebox.,EllaVerite,auto,"L'utilisateur a signalé que le prochain spot publicitaire devrait moquer sa bande passante avec la Freebox. Cependant, il fait référence à un prélèvement bancaire qui pourrait être lié à la facturation de son service. Il est nécessaire de vérifier l'état du compte.",Nous sommes désolés si vous avez rencontré des difficultés concernant le prélèvement bancaire lié à votre facture. Nous allons vérifier immédiatement et nous vous recontacterons dans les plus brefs délais.,Equipe Facturation
1711773973401235737,2023-10-10 16:01:33,"<BRAND:free> <USER> <USER>

En 3 ans l’équipe technique de Free (le « BOC » m’a t’on dit) n’est pas capable d’amener 3 mètres (ou moins!) de câble Fibre, afin que j’ai la fibre (cercle rouge) comme mes voisines dont nos maisons sont mitoyennes (cercles verts). Satisfaisant?! <URL>","[""Reseau/Internet""]",Reseau/Internet,négatif,2,2,a_traiter,Difficultés avec installation de la fibre à domicile,michfrapp,auto,L'utilisateur a signalé des difficultés pour obtenir un accès à la fibre optique malgré l'installation d'un câble Fibre dans sa voisine mitoyenne.,"Désolé pour votre inconvenient, nous examinerons immédiatement ce qui s'est passé et revenirons vers vous en MP avec une solution adaptée.",Equipe SAV
1759266279620247842,2024-02-18 17:19:01,".<BRAND:free> a 25 ans et tient toujours ses promesses en terme de pouvoir d’achat et d’innovation. 3 quinquennats sans toucher aux prix de nos forfaits mobiles, voilà une promesse à laquelle les français peuvent croire🇫🇷🙏🔥","[""Facturation"", ""facturation""]",Facturation,positif,1,1,a_traiter,Celebration de 25 ans sans augmentation des prix de forfaits mobiles,TomReynaud1789,auto,"Le utilisateur a louangé Free pour avoir tenu ses promesses en terme de pouvoir d'achat et d'innovation pendant 25 ans, n'ayant jamais touché aux prix de nos forfaits mobiles. Les Français peuvent donc croire dans cette promesse.","Nous sommes heureux que vous soyez satisfait avec notre offre pendant 25 ans ! Si vous avez des questions ou des préoccupations supplémentaires, n'hésitez pas à nous contacter.",Support/SAV
1762571081402011959,2024-02-27 20:11:07,Ça fonctionne super bien la Fibre Free ce soir... Franchement c'est abusé. Déjà l'autre soir la TV de Free (OQEE) était carrément indisponible ! #FTTH #fibre #Free #Var <BRAND:freebox> <USER> <BRAND:free> <URL>,"[""Box/TV"", ""facturation"", ""prelevement""]",Box/TV,positif,2,1,a_traiter,"Client satisfait avec Free Fibre et TV, cite un problème passé",nephthys,auto,Le client fait part de son avantage actuel avec la Free Fibre cette soirée mais rappelle un problème rencontré précédemment concernant sa Freebox Multi-TV (OQEE).,"Nous regrettez l'expérience que vous avez eue avec votre TV Free (OQEE) l'autre soir. Si vous rencontrez encore des problèmes, n'hésitez pas à nous contacter!",Equipe Box/TV
1811040987365421110,2024-07-10 14:13:13,"<USER> et tout le réseau <BRAND:freebox> sachez qu'une main courante va être déposée, et ira plus loin s'il le faut.
6 appels en 24h avec 6 numéros différents quand je demande de retirer mon numéro de vos bases de données c'est du harcèlement.
Vos forfaits de merde j'en veux pas.","[""Facturation"", ""facturation"", ""harcelement""]",Facturation,négatif,3,2,a_traiter,Rapport d'intimidation envers le client,FrenchTea13,auto,"Le client affirme être victime de harcèlement téléphonique avec plusieurs appels inopinés et numéros différents, et demande que son numéro soit retiré des bases de données de Freebox. Il est également déplorant que les forfaits proposés soient de mauvaise qualité.","Nous sommes désolées pour cette expérience déplorable, <USER>. Nous prendrons immédiatement contact avec notre équipe de support technique pour résoudre ce problème. En attendant, veuillez nous communiquer les numéros des appels reçus pour une analyse approfondie.",Equipe SAV
1812874502642049501,2024-07-15 15:38:57,"<BRAND:free> <USER> Installer la fibre sans autorisation du propriétaire et en perçant de partout, c'est normal ?","[""Reseau/Internet"", ""Installation illégale""]",Reseau/Internet,négatif,2,2,a_traiter,Concernant l'installation de fibre sans autorisation,Tubbydev,auto,L'utilisateur a demandé si c'est normal d'installer la fibre optique sans le consentement du propriétaire. Il semble y avoir une question de légalité à traiter et il est important de répondre rapidement pour éviter toute confusion.,"Nous vous recommandons fortement de ne pas prendre des mesures illégales pour installer la fibre optique. Pour en savoir plus sur l'installation légale, veuillez contacter notre service clientèle. Nous sommes là pour vous aider.",Equipe Reseau
1813254932449140912,2024-07-16 16:50:39,<BRAND:free> 13 minutes 13 sec!!!!! c'est le temps ENCOREE UNE FOIS PERDU à attendre après free pour résoudre un problème récurent !! INCOMPÉTENCE !!!! Ils ne répondent jamais!!!!! <URL>,"[""Facturation"", ""facturation""]",Facturation,négatif,3,2,a_traiter,Client en colère pour une récurrence de problème lié à la facturation,Ben29072013,auto,Le client est très frustré parce qu'il continue d'attendre des solutions à un problème récurrent concernant sa facturation. Il accuse Free d'incompétence et de ne pas répondre.,"Nous sommes désolés pour votre frustration, Monsieur/Madame. Nos équipes travaillent activement pour résoudre ce problème récurrent concernant la facturation. Pourrait-il vous falloir un rappel de facture ou une modification de paiement ?",Equipe Support/SAV
